GVKEY,Company,trimmed_company_name,Company_Handles,name,bio,join_date,tweets,following,followers,likes,media,private,verified
1487,AMERICAN INTERNATIONAL GROUP,american international group,AIGinsurance,AIG,"Global insurance company committed to preparing our clients for what's next. For service, tweet us! 👋  Our Community Guidelines: https://t.co/7bcUQ3GZsV",24-03-2010,6537.0,267.0,42448.0,681.0,1917.0,False,True
1602,AMGEN INC,amgen ,amgen,Amgen,Patients. They're why we develop and manufacture innovative human therapeutics to treat serious diseases. #WeareBiotech Community Guidelines: https://t.co/fo1laM9PxA,02-04-2009,9884.0,344.0,96125.0,1450.0,2524.0,False,True
1663,ANHEUSER-BUSCH COS INC,anheuser-busch,AnheuserBusch,Anheuser-Busch,"America’s best-loved brewery, making stronger communities & meaningful moments. 🍺 Enjoy responsibly. Content & sharing for 21+. ©2020 https://t.co/Lf2DcpQ9ft",17-05-2013,4234.0,137.0,55412.0,2209.0,1091.0,False,True
1878,AUTODESK INC,autodesk,autodesk,Autodesk,"3D design, engineering, and entertainment software and services. 
Have a question? Visit our community forums: https://t.co/ADDNuPre2j",16-04-2009,11944.0,4205.0,286576.0,4713.0,5976.0,False,True
1913,AVERY DENNISON CORP,avery dennison,AveryDennison,Avery Dennison,We are a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials.,13-07-2010,6161.0,5696.0,153474.0,4935.0,3491.0,False,True
1920,AVON PRODUCTS,avon products,AvonInsider,Avon USA,"Make Life Beautiful.
#NoAnimalTesting 🐇",23-02-2009,20064.0,887.0,124215.0,24768.0,4936.0,False,True
2136,VERIZON COMMUNICATIONS INC,verizonmmunications,verizon,Verizon,The 5G America's been waiting for. #5GBuiltRight,24-07-2009,136165.0,555.0,1669206.0,19672.0,9015.0,False,True
2154,BEMIS CO INC,bemis,maxbemis,Max Bemis,Tweets by Management               https://t.co/TVQCsBDrQN,22-05-2009,20161.0,2909.0,59079.0,2185.0,532.0,False,True
2176,BERKSHIRE HATHAWAY,berkshire hathaway,WarrenBuffett,Warren Buffett,Chairman and CEO of Berkshire Hathaway,19-04-2013,10.0,0.0,1705815.0,0.0,3.0,False,True
2184,BEST BUY CO INC,best buy,bestbuy,Best Buy,Let’s talk about what’s possible. Share your best tech with the world using @BestBuy.   Contact @BestBuySupport with customer service questions.,19-11-2008,57897.0,85.0,1138129.0,27181.0,3953.0,False,True
2255,BLACK & DECKER CORP,black & decker,blackanddecker,BLACK+DECKER,Tackling that to-do list? You Got This. BLACK+DECKER helps you keep up with life.,16-09-2009,6208.0,1718.0,45813.0,2646.0,1142.0,False,True
2269,BLOCK H & R INC,block h & r,hrblock,H&R Block,"Tax prep doesn’t have to be hard. At H&R Block, we have many filing options to make it easy for you. Professional tax prep with or without the office visit.",27-11-2007,31711.0,6684.0,38199.0,3478.0,2569.0,False,True
2285,BOEING CO,boeing,boeing,The Boeing Company,"Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.",18-03-2009,5365.0,237.0,605066.0,793.0,985.0,False,True
2290,OFFICEMAX INC,officemax,OfficeMax,OfficeMax Inc.,"For all customer inquiries, please go to @officedepot.",17-02-2009,6027.0,2401.0,29690.0,224.0,616.0,False,True
2312,ROBERT HALF INTL INC,robert half intl,roberthalf,Robert Half,Robert Half is the world’s first and largest specialized staffing firm.,07-10-2008,11807.0,9274.0,24001.0,14440.0,4608.0,False,True
2403,BRISTOL-MYERS SQUIBB CO,bristol-myers squibb,bmsnews,Bristol Myers Squibb,Global Specialty Care BioPharma,21-04-2009,7414.0,1114.0,148826.0,1115.0,3507.0,False,True
2435,BROWN FORMAN CORP,brown forman,BrownForman,Brown-Forman,Please Drink Responsibly. Legal drinking age only. Don't share with anyone underage. https://t.co/bgrPwujH2G ©2021 Brown-Forman. All rights reserved.,23-05-2018,1690.0,37.0,1118.0,943.0,1500.0,False,True
2547,CIGNA CORP,cigna,cigna,Cigna,"Community that highlights what Cigna is doing around the globe to help improve the health, well-being, and peace of mind of those we serve.",04-05-2009,25730.0,2312.0,50350.0,4328.0,7344.0,False,True
2663,CAMPBELL SOUP CO,campbell soup,CampbellSoupCo,Campbell Soup Co,We're proud of what we bring to the table: Real food that matters for life's moments. Visit @CampbellCares for help.,01-05-2009,6814.0,61.0,92132.0,2257.0,1694.0,False,True
2710,CONSTELLATION BRANDS,constellation brands,cbrands,Constellation Brands,Constellation is a leading international producer and marketer of high-end beer and premium wine and spirits brands that are #WorthReachingFor.,17-08-2017,851.0,303.0,37768.0,75.0,520.0,False,True
2751,CARDINAL HEALTH INC,cardinal health,cardinalhealth,Cardinal Health,"The news handle for Cardinal Health on Twitter, providing up-to-date info and announcements from the public relations team. Twitter disclaimer below.",22-02-2011,4496.0,1269.0,16572.0,3596.0,1186.0,False,True
2817,CATERPILLAR INC,caterpillar,caterpillarinc,CaterpillarInc,"For more than 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.",12-06-2008,12403.0,244.0,138322.0,1267.0,5797.0,False,True
2884,CENTURYLINK INC,centurylink,centurylink,CenturyLink,Transforming lives and businesses through innovative technology solutions. Follow along. Customer support available @CenturyLinkHelp.,02-06-2009,10237.0,449.0,39255.0,3474.0,3045.0,False,True
2968,JPMORGAN CHASE & CO,jpmorgan chase &,jpmorgan,J.P. Morgan,"Official account for the latest company news and updates from Asset Management, Private Banking, Commercial Banking, and the Corporate and Investment Bank.",07-02-2013,7376.0,48.0,551200.0,481.0,2308.0,False,True
2991,CHEVRON CORP,chevron,chevron,Chevron,"our greatest resource is our people. their ingenuity & creativity have met the complex challenges of energy’s past. together, we’ll take on the future.",16-02-2009,15950.0,261.0,374512.0,475.0,2080.0,False,True
3024,CHUBB CORP,chubb,chubb,Chubb,Chubb is the world’s largest publicly traded property and casualty insurer.,12-05-2009,4933.0,806.0,27576.0,502.0,2350.0,False,True
3105,IHEARTMEDIA INC,iheartmedia,iheartmedia,iHeartMedia,"iHeartMedia, Inc. is one of the leading global media and entertainment companies. For more company information visit http://t.co/34j8b9xuRq.",09-12-2009,1762.0,836.0,22863.0,465.0,385.0,False,True
3121,CLOROX CO/DE,clorox/de,clorox,Clorox,"Clean is just the beginning. 
What comes next is everything.",22-09-2009,20749.0,5189.0,106518.0,4176.0,651.0,False,True
3144,COCA-COLA CO,coca-cola,CocaCola,Coca-Cola,This holiday season #ShareACoke with the people who lift you up all year long.,26-03-2009,282287.0,59563.0,3317768.0,23559.0,114487.0,False,True
3170,COLGATE-PALMOLIVE CO,colgate-palmolive,CP_News,Colgate-Palmolive,Welcome to the official home for Colgate-Palmolive news. #WeAreColgate,01-04-2010,3544.0,643.0,34893.0,1546.0,766.0,False,True
3221,AON PLC,aon plc,Aon_plc,Aon,"Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of #risk, #retirement and #health solutions.",27-02-2009,4511.0,1257.0,38870.0,559.0,1128.0,False,True
3226,COMCAST CORP,comcast,comcast,Comcast,Shaping the future at the intersection of media & technology.,13-11-2009,68251.0,0.0,177243.0,6298.0,2768.0,False,True
3243,CITIGROUP INC,citigroup,citi,Citi,Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti,02-10-2009,18395.0,352.0,913062.0,2676.0,3196.0,False,True
3336,DXC TECHNOLOGY CO,dxc technology,DXCTechnology,DXC Technology,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,05-06-2012,21989.0,11955.0,33044.0,10655.0,12801.0,False,True
3362,CONAGRA BRANDS INC,conagra brands,conagrabrands,Conagra Brands,"Conagra Brands is one of North America’s leading branded food companies. To view our portfolio of brands, visit https://t.co/UsA2WOi5zZ.",24-11-2009,9611.0,854.0,22833.0,5456.0,1068.0,False,True
3413,CONSOLIDATED EDISON INC,consolidated edison,conedison,Con Edison,Official Twitter handle for Con Edison. For gas odors leave area & call 911. Report power issues at https://t.co/lVVABPWFeG. Contact us at 1-800-75-CONED.,06-02-2009,31270.0,3441.0,41687.0,2932.0,1439.0,False,True
3505,MOLSON COORS BEVERAGE CO,molsonors beverage,molsoncoors,Molson Coors Beverage Company,"Brewing beverages that unite people for more than two centuries.

Only for 21+. Drink Responsibly. PRIV: https://t.co/KfLPjXDQXM T&C: https://t.co/nlJx8PedPo. 800-645-5376.",20-12-2011,9775.0,2564.0,33478.0,7821.0,4510.0,False,True
3532,CORNING INC,corning,corning,Corning Incorporated,"Official Twitter of Corning Incorporated; materials science innovator & leader in specialty glass, ceramics & optical physics. Terms: https://t.co/UgtAnA12pG",13-08-2009,7827.0,709.0,30360.0,2448.0,2975.0,False,True
3650,CUMMINS INC,cummins,Cummins,Cummins Inc.,"We live in an Always On world that stands at the gateway of a more sustainable future. At Cummins, we're inventing the technology that will take us there.",03-11-2009,3866.0,474.0,124079.0,3208.0,672.0,False,True
3835,DEERE & CO,deere &,johndeere,John Deere,Nothing runs like a Deere,07-01-2009,11127.0,224.0,193874.0,5982.0,3790.0,False,True
3851,DELTA AIR LINES INC,delta air lines,delta,Delta,"Caring for you is our top priority. For the most up to date information on how we’re responding to COVID-19, visit: https://t.co/l5WcWVfLXl",10-05-2007,1125774.0,39090.0,1593247.0,3350.0,2231.0,False,True
3897,DTE ENERGY CO,dte energy,dte_energy,DTE_Energy,Providing breaking news and tips from Michigan’s largest electric and gas company. Got a question? Message us from 8am-11pm seven days a week.,14-07-2009,28226.0,1576.0,26594.0,5032.0,5594.0,False,True
3905,ADTALEM GLOBAL EDUCATION INC,adtalem global education,adtalemglobal,Adtalem Global,"We empower students and professionals to achieve their goals, find success and make inspiring contributions to our global community.",25-05-2011,3901.0,569.0,2461.0,2155.0,706.0,False,True
3964,DILLARDS INC  -CL A,dillards  -cl a,Dillards,Dillard's,Official Dillard's Twitter,05-08-2009,4913.0,304.0,29306.0,1645.0,1375.0,False,True
4029,DOMINION ENERGY INC,dominion energy,dominionenergy,Dominion Energy,"Sharing the latest news, info & updates about Dominion Energy. Customers can report outages at https://t.co/PplRNyVKiK. If you suspect an emergency, call 911.",15-10-2009,36177.0,3737.0,62487.0,8772.0,1507.0,False,True
4058,DOVER CORP,dover,DoverAthletic,Dover Athletic FC,"Official Dover Athletic Football Club twitter feed. Follow @DAFCLiveText for match updates, DoverAthleticFC on Facebook and doverathleticfc on Instagram.",17-12-2009,14408.0,31.0,23134.0,1719.0,3321.0,False,True
4060,DUPONT DE NEMOURS INC,dupont de nemours,dupont_news,DuPont,"For over 200 years DuPont has been innovating around you, reinventing itself to bring technology-driven solutions to customers worldwide. Invent a better now.",12-03-2009,23760.0,229.0,66797.0,650.0,1929.0,False,True
4093,DUKE ENERGY CORP,duke energy,DukeEnergy,Duke Energy,Follow us for all the latest news about Duke Energy. Customers can report outages at https://t.co/gXdbzJZkPs. If you suspect an emergency please call 911.,09-10-2009,43586.0,2693.0,110888.0,13813.0,4481.0,False,True
4094,DUN & BRADSTREET CORP,dun & bradstreet,DunBradstreet,Dun & Bradstreet,Official Dun & Bradstreet Twitter. Our #DNBDataCloud delivers #data & insights to help our clients grow and thrive.,05-10-2010,28507.0,3592.0,19871.0,4350.0,2977.0,False,True
4145,PERKINELMER INC,perkinelmer,perkinelmer,PerkinElmer,"Stay informed with news, insights, trends and ways we are making an impact across the diagnostics, life sciences, food and applied markets.",01-04-2010,5951.0,1099.0,47444.0,1090.0,2877.0,False,True
4194,EASTMAN KODAK CO,eastman kodak,kodak,Kodak,Enabling creativity since 1880. ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀,13-04-2010,7150.0,515.0,56219.0,8518.0,2043.0,False,True
4213,ECOLAB INC,ecolab,Ecolab,Ecolab,"Ecolab is the global leader in water, hygiene and infection prevention solutions - helping businesses succeed while protecting people and vital resources.",11-02-2011,4322.0,1092.0,18755.0,1723.0,1336.0,False,True
4242,EL PASO CORP,el paso,ElPasoTXGov,City of El Paso,Visit https://t.co/W5CPHX2qib to view the City of El Paso's Social Media Policy.,16-04-2012,8940.0,126.0,39589.0,1715.0,4087.0,False,True
4321,EMERSON ELECTRIC CO,emerson electric,Emerson_news,Emerson,"Where technology and engineering come together to create global solutions, driven without compromise for a world in action.
https://t.co/A6haet3XRx",03-08-2009,3132.0,732.0,18941.0,739.0,900.0,False,True
4367,WEATHERFORD INTL PLC,weatherford intl plc,WeatherfordCorp,Weatherford,"Weatherford is one of the largest multinational oilfield service companies, delivering innovative technologies and services worldwide.",07-01-2011,2935.0,1228.0,35653.0,392.0,1220.0,False,True
4383,ATMOS ENERGY CORP,atmos energy,atmosenergy,atmosenergy,"This account is not monitored 24/7. If you smell natural gas or suspect gas leak, leave the area immediately and call our 24/7 emergency line: 866.322.8667.",09-04-2009,6719.0,2194.0,4991.0,2900.0,1781.0,False,True
4423,EQUIFAX INC,equifax,Equifax,Equifax Inc.,"Equifax is a global information solutions company that uses unique data, analytics, tech & expertise to power organizations and individuals around the world.",18-03-2011,7613.0,1883.0,20776.0,99.0,188.0,False,True
4503,EXXON MOBIL CORP,exxon mobil,exxonmobil,ExxonMobil,The official Twitter page of Exxon Mobil Corporation. Continue the conversation at https://t.co/Kjb8fyf88V. Direct all inquiries to http://t.co/INDDcFZK8u.,30-04-2009,7076.0,278.0,325585.0,361.0,2367.0,False,True
4517,NEXTERA ENERGY INC,nextera energy,nexteraenergy,"NextEra Energy, Inc.","Leading clean energy company ranked No. 1 in the electric and gas utilities industry on Fortune’s 2019 list of “World’s Most Admired Companies.""",02-12-2009,189.0,3.0,3962.0,2.0,122.0,False,True
4560,FAMILY DOLLAR STORES,family dollar stores,myfamilydollar,Family Dollar,"Welcome to the official Twitter account of Family Dollar, your home for savings on the products you love…all in 280 characters or less!",17-05-2010,8634.0,615.0,46574.0,3895.0,2046.0,False,True
4598,FEDEX CORP,fedex,FedEx,FedEx,Connecting people and possibilities around the world. Looking for help? Tweet @FedExHelp.,19-04-2010,21820.0,17337.0,310037.0,16552.0,5248.0,False,True
4611,MACY'S INC,macy's,macys,Macy's,Must-have fashion & exciting events. Share your fave finds with #macyslove. Need help? DM us.,25-06-2009,127778.0,1146.0,913120.0,9437.0,5301.0,False,True
4640,FIFTH THIRD BANCORP,fifth third bancorp,FifthThird,Fifth Third Bank,"We’re here to support your banking needs. Visit https://t.co/GZrBD5oIqE for tips and support. Fifth Third Bank, N.A. Member FDIC.",27-12-2010,26949.0,290.0,38266.0,8194.0,1757.0,False,True
4674,REGIONS FINANCIAL CORP,regions financial,askregions,Regions Bank,"We will respond to tweets Monday-Friday between 8am-5pm CT, and Saturday 8am-12pm.",31-10-2011,50573.0,287.0,23037.0,8129.0,1630.0,False,True
4699,M & T BANK CORP,m & t bank,mandt_bank,M&T Bank,"The official channel for news, community updates and helpful information from M&T Bank. For customer support Mon-Fri 8am-4:30pm EST, tweet @MandT_Help.",14-10-2009,3880.0,1590.0,11233.0,1599.0,1236.0,False,True
4723,U S BANCORP,u s bancorp,usbank,U.S. Bank,"Official account of U.S. Bank NA. Member FDIC. Equal Housing Lender. For banking help, tweet @askusbank.",24-07-2008,28971.0,1262.0,41816.0,5264.0,1402.0,False,True
4839,FORD MOTOR CO,ford motor,ford,Ford Motor Company,We build the most beloved truck on the road. The most iconic American sports car. And the SUV most people think of when they think of an SUV.,31-07-2008,48408.0,6.0,1275791.0,12140.0,17035.0,False,True
4885,FRANKLIN RESOURCES INC,franklin resources,FTI_US,Franklin Templeton,Official Franklin Templeton account. For US investors only. Follow us for global investment perspectives.,18-07-2011,9405.0,264.0,98083.0,5.0,2704.0,False,True
4988,TEGNA INC,tegna,tegna,TEGNA,"Our purpose is to serve the greater good of our communities – through empowering stories, impactful investigations and innovative marketing services.",22-04-2009,5190.0,1194.0,7866.0,8813.0,2696.0,False,True
4990,GAP INC,gap,gap,Gap,Optimistic American style.,29-12-2008,37665.0,1484.0,630959.0,5981.0,3976.0,False,True
5046,GENERAL DYNAMICS CORP,general dynamics,GDMS,General Dynamics Mission Systems,"We develop mission critical solutions for those that lead, serve and protect the world we live in. #PlatformsSmarter | We're hiring, follow: @GDMS_Careers",06-09-2012,3182.0,1980.0,39316.0,6239.0,951.0,False,True
5047,GENERAL ELECTRIC CO,general electric,generalelectric,General Electric,"Every minute of every day, GE rises to the challenge of building a world that works.",16-03-2011,84271.0,13304.0,451951.0,1786.0,4761.0,False,True
5071,GENERAL MILLS INC,general mills,generalmills,General Mills,"News/information from General Mills. Learn more at https://t.co/K7ale2Yhbq, https://t.co/brNL7A0kV1 and https://t.co/Q8ZoS4kQLA",11-04-2011,20837.0,39.0,99555.0,7856.0,3856.0,False,True
5073,GENERAL MOTORS CO,general motors,gm,General Motors,"We’re on a journey to create a world with zero crashes, zero emissions and zero congestion. See how we’ll get there. Privacy Statement: https://t.co/u3I3TbTZSR",04-12-2007,17220.0,6123.0,754303.0,2232.0,2370.0,False,True
5234,GOODYEAR TIRE & RUBBER CO,goodyear tire & rubber,Goodyear,Goodyear,The official Goodyear Tire & Rubber Co Twitter account affiliated with @GoodyearBlimp and @GoodyearRacing. Wishing you all a #Goodyear.,08-07-2013,1977.0,470.0,37488.0,4562.0,849.0,False,True
5256,GRAINGER (W W) INC,grainger (w w),grainger,Grainger,Grainger is here for you—the hard-working people who keep facilities running and workers working day and night.,14-06-2010,9574.0,1214.0,26449.0,2421.0,2153.0,False,True
5439,HALLIBURTON CO,halliburton,halliburton,Halliburton,One of the world's largest providers of products and services to the energy industry.,26-04-2011,2299.0,105.0,59581.0,20.0,1142.0,False,True
5518,HASBRO INC,hasbro,hasbro,Hasbro,Creating the world's best play and entertainment experiences.,30-09-2009,12606.0,577.0,163432.0,3742.0,2579.0,False,True
5568,KRAFT HEINZ CO,kraft heinz,KraftHeinzCo,The Kraft Heinz Company,News & information from #HereAtKraftHeinz,16-02-2010,2336.0,57.0,19369.0,1146.0,147.0,False,True
5589,HERCULES INC,hercules,cfhercules,Hércules CF Oficial,Bienvenidos al Twitter oficial del Hércules de Alicante C.F. Síguenos también en Facebook https://t.co/AGcSuErNmP,16-11-2010,31771.0,190.0,78228.0,177.0,10385.0,False,True
5597,HERSHEY CO,hershey,hersheys,HERSHEY'S,We’re here to bring people together through the power of chocolate. #heartwarmingtheworld,18-05-2011,20810.0,5256.0,254912.0,4354.0,2975.0,False,True
5606,HP INC,hp,HP,HP,"Engineering experiences that amaze. We create technology with a purpose: to make life better for everyone, everywhere. #KeepReinventing.",05-11-2008,38404.0,2524.0,1094861.0,8611.0,3685.0,False,True
5643,HILTON WORLDWIDE HOLDINGS,hilton worldwide holdings,Hilton,Hilton,"Wherever you #travel, we’ll meet you there with a global portfolio of hotels you can count on. #HiltonMemories",29-04-2009,79755.0,842.0,13793.0,674.0,997.0,False,True
5680,HOME DEPOT INC,home depot,HomeDepot,The Home Depot,Helping doers in their home improvement projects. Visit @HDCares for Customer Care support.,15-05-2008,23376.0,30892.0,404280.0,2921.0,4049.0,False,True
5709,HORMEL FOODS CORP,hormel foods,HormelFoods,Hormel Foods,"Official tweets of Hormel Foods Corporation - Inspired People. Inspired Food.™

©Hormel Foods, LLC",21-01-2008,15976.0,1545.0,63856.0,7671.0,5119.0,False,True
5723,STARWOOD HOTELS&RESORTS WRLD,starwood hotels&resorts wrld,sheratonhotels,Sheraton,Where the world comes together.     Member of @marriottbonvoy.,09-06-2010,13617.0,406.0,80365.0,5003.0,858.0,False,True
5786,HUNTINGTON BANCSHARES,huntington bancshares,huntington_bank,Huntington Bank,Official Twitter feed for Huntington Bank. Member FDIC. https://t.co/wRyH3jl2s0,28-09-2009,6656.0,1568.0,21169.0,3179.0,976.0,False,True
5860,ITT INC,itt,itttech,ITT Tech,The ITT Technical Institutes are educators helping people build a foundation for the rest of their lives. Tweets made by the ITT Tech Communications Team.,08-12-2011,2997.0,1273.0,6305.0,1104.0,819.0,False,True
6008,INTEL CORP,intel,intel,Intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",29-03-2007,15853.0,1370.0,4875877.0,9481.0,3980.0,False,True
6136,INTERPUBLIC GROUP OF COS,interpublic group ofs,InterpublicIPG,Interpublic Group,"Values-based, Data-fueled, Creatively-driven since 1961.",22-09-2011,7960.0,641.0,13221.0,4069.0,735.0,False,True
6266,JOHNSON & JOHNSON,johnson & johnson,JNJNews,Johnson & Johnson,"At Johnson & Johnson, we blend heart, science and ingenuity to profoundly change the trajectory of health for humanity. Follow us to learn more and connect.",09-02-2009,14442.0,2488.0,213937.0,3129.0,4644.0,False,True
6268,JOHNSON CONTROLS INTL PLC,johnsonntrols intl plc,johnsoncontrols,Johnson Controls,"105,000 experts globally, dedicated to protecting the environment in a 150 countries & 130 years of innovation, we are the power behind our customers’ mission.",19-03-2013,3620.0,622.0,27872.0,596.0,2230.0,False,True
6304,KLA CORP,kla,ktla,KTLA,"KTLA has been keeping Southern California informed since 1947. 

Have great video, photos or story tips? Share with us using #ktla.",14-11-2007,228793.0,775.0,837395.0,1568.0,47690.0,False,True
6375,KELLOGG CO,kellogg,KelloggCompany,Kellogg Company,Corporate news from our global HQ in the U.S. Product question? Visit: http://t.co/sKcVDx76xL,03-01-2012,3277.0,522.0,76231.0,1806.0,803.0,False,True
6502,KROGER CO,kroger,kroger,Kroger,Fresh food. Fresh takes. Fresh For Everyone. 🥬🍔🍎🥑🥐🧁🥒🛒,29-04-2009,100850.0,274.0,161019.0,62886.0,2946.0,False,True
6529,LSI CORP,lsi,TulsiGabbard,Tulsi Gabbard 🌺,"former US Presidential candidate. Congresswoman. Wife. Sister. Veteran. Soldier. Surfer. Plant-based foodie.
#StandWithTulsi #EndWastefulWars",26-03-2009,10683.0,2573.0,1000446.0,6346.0,1610.0,False,True
6669,LENNAR CORP,lennar,lennar,Lennar,"Lennar is a national homebuilding company, offering new homes across America in the most desirable real estate markets.",11-07-2008,29053.0,164079.0,252922.0,191.0,7597.0,False,True
6730,LILLY (ELI) & CO,lilly (eli) &,LillyPad,Eli Lilly and Company,Lilly unites caring with discovery to create medicines that make life better for people around the world. https://t.co/9QEZusdKd9,29-07-2010,21335.0,1346.0,126622.0,2028.0,2086.0,False,True
6742,LINCOLN NATIONAL CORP,lincoln national,LincolnUSForest,Lincoln National Forest,"Lincoln National Forest
3463 Las Palomas Rd
Alamogordo, NM 88310
575-434-7200",07-09-2011,699.0,36.0,1155.0,24.0,77.0,False,True
6768,KATE SPADE & CO,kate spade &,katespadeny,kate spade new york,"who we are is intertwined with who you are. we are all the heroines of
our own stories. we are kate spade new york.",12-05-2009,19300.0,497.0,826755.0,3973.0,3637.0,False,True
6774,LOCKHEED MARTIN CORP,lockheed martin,LockheedMartin,Lockheed Martin,"Customer focus, innovation and purpose are built into everything we do. Lockheed Martin. Your Mission Is Ours®.",27-05-2009,16706.0,421.0,446120.0,8226.0,6221.0,False,True
6781,LOEWS CORP,loews,Lowes,Lowe's,"As our daily routines change, so do our homes. We’re with you every step of the way as your #HomeBecomes more than it ever has before.",22-01-2009,164845.0,12213.0,282719.0,5364.0,3416.0,False,True
6829,LOWE'S COS INC,lowe'ss,Lowes,Lowe's,"As our daily routines change, so do our homes. We’re with you every step of the way as your #HomeBecomes more than it ever has before.",22-01-2009,164845.0,12213.0,282719.0,5364.0,3416.0,False,True
7116,MATTEL INC,mattel,Mattel,MATTEL,We are a creations company that inspires the wonder of childhood!,21-12-2009,19387.0,511.0,191707.0,10579.0,1573.0,False,True
7154,MCDONALD'S CORP,mcdonald's,McDonalds,McDonald's,Grimace is a close personal friend of mine,02-09-2009,673416.0,13616.0,3737575.0,8675.0,8027.0,False,True
7163,S&P GLOBAL INC,s&p global,SPGlobal,S&P Global,We accelerate progress in the world by delivering essential intelligence that's critical for decision-making.,01-02-2010,15684.0,880.0,25484.0,2040.0,7591.0,False,True
7171,MCKESSON CORP,mckesson,McKesson,McKesson Corporation,"We're a global healthcare company improving care in every setting — one product, one partner, one patient at a time.",27-05-2010,6275.0,282.0,21843.0,1261.0,2725.0,False,True
7228,MEDTRONIC PLC,medtronic plc,Medtronic,Medtronic,"A global healthcare solutions company — committed to improving lives through our medical technologies, services, and solutions.  https://t.co/iIsZotRH8F",01-07-2009,4503.0,393.0,75965.0,323.0,1444.0,False,True
7241,CVS HEALTH CORP,cvs health,cvshealth,CVS Health,We are health care innovators with a simple and clear purpose: Helping people on their path to better health. Celebrating our CVS heroes: https://t.co/feddaBmZK5,12-03-2010,12033.0,5542.0,61524.0,18368.0,1706.0,False,True
7257,MERCK & CO,merck &,Merck,Merck,We have always been and always will be inventing for the single greatest purpose: Life. Intended for U.S. residents only. FLS: https://t.co/unmH53cudx,28-04-2009,8596.0,1000.0,201661.0,2067.0,2520.0,False,True
7260,MEREDITH CORP,meredith,meredith976,Meredith Montero 🇻🇪,"Con mi Virgen siempre! De pie por 🇻🇪 Tarot ,Numerología Eres un ser único,eres un ser luz !#LaSuerteEstaEchada #LosAstros @encuentrodeluz1",26-01-2010,97427.0,1755.0,199653.0,10628.0,9876.0,False,True
