,GVKEY,Company,trimmed_company_name,Company_Handles,name,bio,join_date,tweets,following,followers,likes,media,private,verified
283,64166,QUEST DIAGNOSTICS INC,quest diagnostics,QuestDX,Quest Diagnostics,Quest Diagnostics empowers people to take action to improve health outcomes.,22-09-2009,9788.0,595.0,11413.0,3879.0,1536.0,False,True
284,64410,CARMAX INC,carmax,carmax,CarMax,"The way it should be. 
Need help? We're available from 9A-8P ET Mon-Fri at 1-800-519-1511.",22-06-2007,38111.0,6060.0,37116.0,4059.0,669.0,False,True
285,64630,TAKE-TWO INTERACTIVE SFTWR,take-two interactive sftwr,taketwo,Take Two,"Catch up on the latest SoCal news with @AMartinezLA. Join us on 89.3 @KPCC, weekdays 2-3 PM. (Frequently confused with Take2 interactive)",31-12-2008,16540.0,1441.0,9887.0,1027.0,3347.0,False,True
286,64768,AMAZON.COM INC,amazon.com,amazon,Amazon,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",13-02-2009,34959.0,51.0,3536257.0,7687.0,8228.0,False,True
287,64891,RALPH LAUREN CORP,ralph lauren,ralphlauren,Ralph Lauren,Defining timeless style since 1967,22-04-2009,5347.0,337.0,2302153.0,2829.0,3772.0,False,True
288,65417,YUM BRANDS INC,yum brands,yumbrands,Yum! Brands,"OFFICIAL Twitter for the parent company of @kfc, @pizzahut, @TacoBell and @HabitBurger.",13-09-2007,2813.0,534.0,23213.0,1519.0,648.0,False,True
289,66368,VERISIGN INC,verisign,verisign,VERISIGN,A global provider of domain name registry services and internet infrastructure.,30-01-2009,9660.0,67.0,47759.0,1700.0,1557.0,False,True
290,66708,BROADCOM CORP,broadcom,Broadcom,Broadcom Inc.,"Broadcom Inc. (NASDAQ: AVGO) is a global technology leader that designs,
develops and supplies semiconductor and infrastructure software solutions.",19-07-2011,5655.0,3556.0,49368.0,6.0,540.0,False,True
291,104432,NORWEGIAN CRUISE LINE HLDGS,norwegian cruise line hldgs,CruiseNorwegian,Cruise Norwegian,News & exclusive updates from Norwegian Cruise Line! #CruiseNorwegian,29-10-2008,24873.0,3364.0,175172.0,37446.0,5072.0,False,True
292,111864,COGNIZANT TECH SOLUTIONS,cognizant tech solutions,cognizant,Cognizant,Cognizant (Nasdaq: CTSH) is dedicated to helping the world's leading companies build stronger businesses—helping them go from doing #digital to being digital.,28-08-2009,46673.0,2939.0,759665.0,4054.0,19116.0,False,True
293,112168,REPUBLIC SERVICES INC,republic services,RepublicService,Republic Services,Republic Services is an industry leader in U.S. recycling and non-hazardous solid waste disposal. Twitter Customer Service Hours: 8-5 MST (Mon-Fri),10-01-2011,8484.0,2666.0,12938.0,2734.0,1655.0,False,True
294,114524,EBAY INC,ebay,ebay,eBay,"Now offering
No-fee Authenticity Guarantee on select luxury ⌚️ $2K+ and collectible 👟 $150+ 
👀 the blue check
Questions? @AskeBay is here to help.",29-01-2009,32582.0,1226.0,736519.0,5016.0,11414.0,False,True
295,114628,GOLDMAN SACHS GROUP INC,goldman sachs group,goldmansachs,Goldman Sachs,"Official Goldman Sachs Twitter account. Follow us for the latest in global and local economic progress, firm news, and thought leadership content.",16-02-2011,14165.0,106.0,826833.0,5.0,7263.0,False,True
296,117768,NVIDIA CORP,nvidia,nvidia,NVIDIA,The official handle for NVIDIA. Blog: https://t.co/ohDSqeDJ1D Support: https://t.co/DAKuuuZIg5 All NVIDIA Social Media: https://t.co/MeX69boOTQ,30-07-2009,11677.0,230.0,1686906.0,3887.0,2768.0,False,True
297,118122,APTIV PLC,aptiv plc,Aptiv,Aptiv,"Aptiv is a global technology company that develops safer, greener and more connected solutions enabling the future of mobility. #ItsOurMove",10-09-2012,5198.0,529.0,16980.0,3115.0,1553.0,False,True
