,GVKEY,Company,trimmed_company_name,Company_Handles,name,bio,join_date,tweets,following,followers,likes,media,private,verified
96,5723,STARWOOD HOTELS&RESORTS WRLD,starwood hotels&resorts wrld,sheratonhotels,Sheraton,Where the world comes together.     Member of @marriottbonvoy.,09-06-2010,13617.0,406.0,80365.0,5003.0,858.0,False,True
97,5786,HUNTINGTON BANCSHARES,huntington bancshares,huntington_bank,Huntington Bank,Official Twitter feed for Huntington Bank. Member FDIC. https://t.co/wRyH3jl2s0,28-09-2009,6656.0,1568.0,21169.0,3179.0,976.0,False,True
98,5860,ITT INC,itt,itttech,ITT Tech,The ITT Technical Institutes are educators helping people build a foundation for the rest of their lives. Tweets made by the ITT Tech Communications Team.,08-12-2011,2997.0,1273.0,6305.0,1104.0,819.0,False,True
99,6008,INTEL CORP,intel,intel,Intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",29-03-2007,15853.0,1370.0,4875877.0,9481.0,3980.0,False,True
100,6136,INTERPUBLIC GROUP OF COS,interpublic group ofs,InterpublicIPG,Interpublic Group,"Values-based, Data-fueled, Creatively-driven since 1961.",22-09-2011,7960.0,641.0,13221.0,4069.0,735.0,False,True
101,6266,JOHNSON & JOHNSON,johnson & johnson,JNJNews,Johnson & Johnson,"At Johnson & Johnson, we blend heart, science and ingenuity to profoundly change the trajectory of health for humanity. Follow us to learn more and connect.",09-02-2009,14442.0,2488.0,213937.0,3129.0,4644.0,False,True
102,6268,JOHNSON CONTROLS INTL PLC,johnsonntrols intl plc,johnsoncontrols,Johnson Controls,"105,000 experts globally, dedicated to protecting the environment in a 150 countries & 130 years of innovation, we are the power behind our customers’ mission.",19-03-2013,3620.0,622.0,27872.0,596.0,2230.0,False,True
103,6304,KLA CORP,kla,ktla,KTLA,"KTLA has been keeping Southern California informed since 1947. 

Have great video, photos or story tips? Share with us using #ktla.",14-11-2007,228793.0,775.0,837395.0,1568.0,47690.0,False,True
104,6375,KELLOGG CO,kellogg,KelloggCompany,Kellogg Company,Corporate news from our global HQ in the U.S. Product question? Visit: http://t.co/sKcVDx76xL,03-01-2012,3277.0,522.0,76231.0,1806.0,803.0,False,True
105,6502,KROGER CO,kroger,kroger,Kroger,Fresh food. Fresh takes. Fresh For Everyone. 🥬🍔🍎🥑🥐🧁🥒🛒,29-04-2009,100850.0,274.0,161019.0,62886.0,2946.0,False,True
106,6529,LSI CORP,lsi,TulsiGabbard,Tulsi Gabbard 🌺,"former US Presidential candidate. Congresswoman. Wife. Sister. Veteran. Soldier. Surfer. Plant-based foodie.
#StandWithTulsi #EndWastefulWars",26-03-2009,10683.0,2573.0,1000446.0,6346.0,1610.0,False,True
107,6669,LENNAR CORP,lennar,lennar,Lennar,"Lennar is a national homebuilding company, offering new homes across America in the most desirable real estate markets.",11-07-2008,29053.0,164079.0,252922.0,191.0,7597.0,False,True
108,6730,LILLY (ELI) & CO,lilly (eli) &,LillyPad,Eli Lilly and Company,Lilly unites caring with discovery to create medicines that make life better for people around the world. https://t.co/9QEZusdKd9,29-07-2010,21335.0,1346.0,126622.0,2028.0,2086.0,False,True
