,GVKEY,Company,trimmed_company_name,Company_Handles,name,bio,join_date,tweets,following,followers,likes,media,private,verified
216,15521,STAPLES INC,staples,staples,Staples,"We help teams find fulfillment in Worklife by connecting people, ideas and solutions.",18-05-2015,5207.0,3324.0,4086.0,1975.0,206.0,False,True
217,15855,NORTONLIFELOCK INC,nortonlifelock,nortonlifelock,NortonLifeLock,The official NortonLifeLock account for the latest news in #CyberSafety,17-09-2019,433.0,250.0,1272.0,499.0,87.0,False,True
218,16101,ABBVIE INC,abbvie,abbvie,AbbVie,AbbVie's global handle featuring biopharmaceutical news & updates managed by our corp digital team. Review our guidelines here: http://t.co/qwZuFRpxk5,21-03-2012,6585.0,499.0,68122.0,1888.0,4139.0,False,True
219,16721,ELECTRONIC ARTS INC,electronic arts,electronicarts,EA UK,"Your home for EA news across the UK and Ireland on @EASPORTSFIFA, @Battlefield, @PlayApex, @EAStarWars & more. Need help with an EA title? Contact @EAhelp",09-08-2007,9785.0,205.0,335530.0,3110.0,3110.0,False,True
220,18043,NEWS CORP,news,breakingnews,Breaking News,,13-05-2007,105788.0,547.0,9697693.0,6.0,489.0,False,True
221,18699,PTC INC,ptc,PTC,PTC,PTC unleashes industrial innovation with market-proven solutions that enable companies to drive #digitaltransformation. Learn more: https://t.co/ODzG00fkc5,25-10-2010,21034.0,12664.0,38821.0,7871.0,5457.0,False,True
222,20423,CAESARS ENTERTAINMENT CORP,caesars entertainment,caesarsent,Caesars Entertainment,"Over 50 Destinations. One Empire.
Must be 21+ to gamble. Know When to Stop Before You Start.® 
Gambling problem? Call 800-522-4700.",09-07-2010,4905.0,728.0,15492.0,2604.0,1045.0,False,True
223,20548,CABOT OIL & GAS CORP,cabot oil & gas,CabotOG,Cabot Oil & Gas Corporation,"A leading independent North American natural gas producer with activity focused on Marcellus Shale in northeastern PA
(NYSE:COG) https://t.co/JV1bOgQ6Ry",15-06-2011,4517.0,573.0,22468.0,661.0,1152.0,False,True
224,20686,SYNCHRONY FINANCIAL,synchrony financial,synchrony,Synchrony,"We’re changing what’s possible for people & businesses in all sorts of ways. For acct support: @AskSynchrony Sun 8a-9p, M/T 8a-10p, W/T 8a-8p, F/S 8a-10p EST",19-09-2008,4595.0,477.0,12831.0,1217.0,1143.0,False,True
225,20748,ARISTA NETWORKS INC,arista networks,AristaNetworks,Arista Networks,Official news and tweets of Arista Networks: The New Standard in Software Driven Cloud Networking. NYSE: $ANET,16-07-2009,1585.0,211.0,15641.0,138.0,385.0,False,True
226,21825,CITIZENS FINANCIAL GROUP INC,citizens financial group,CitizensBank,Citizens Bank,"Here to help make you ready for whatever’s next on your journey. Follow us for tips that will prepare you. #MadeReady

For customer service: @AskCitizensBank.",01-11-2010,29689.0,130.0,24089.0,10329.0,1781.0,False,True
227,22260,HCA HEALTHCARE INC,hca healthcare,hcahealthcare,HCA Healthcare,"Above all else, we are committed to the care and improvement of human life.",10-08-2009,4668.0,680.0,14463.0,1525.0,1760.0,False,True
228,22325,XILINX INC,xilinx,XilinxInc,Xilinx,"Xilinx is the inventor of the #FPGA, programmable SoCs, and now, the #ACAP. 
#AI #DataCenter #5G",06-05-2009,11463.0,963.0,33278.0,1732.0,3316.0,False,True
229,23809,AUTOZONE INC,autozone,autozone,AutoZone,"Follow us for AutoZone news, online #deals, #DIY #repair tips & more from the nation's leading autoparts retailer. #GetinTheZone @ http://t.co/JoGk3mZxe7",06-04-2011,15994.0,114.0,39702.0,3771.0,1458.0,False,True
230,23812,REGENERON PHARMACEUTICALS,regeneron pharmaceuticals,regeneron,Regeneron,Official channel for Regeneron. We turn science into medicine for people with serious diseases. View our terms of engagement here https://t.co/of3QRL6CsA,06-03-2009,4304.0,301.0,27449.0,980.0,1537.0,False,True
231,24344,VERTEX PHARMACEUTICALS INC,vertex pharmaceuticals,vertexpharma,Vertex,The official Twitter channel dedicated to media announcements & investor communications from Vertex. https://t.co/sZ4ylSrJeU,21-11-2008,2868.0,87.0,65316.0,1053.0,1022.0,False,True
232,24468,BIOGEN INC,biogen,biogen,Biogen,Official Twitter channel for Biogen. Focused on cutting-edge science and medicine. Community guidelines: http://t.co/Y0FFAiHjRU,14-06-2010,4855.0,253.0,36131.0,912.0,1741.0,False,True
233,24800,QUALCOMM INC,qualcomm,Qualcomm,Qualcomm,"As we unlock 5G, we’re transforming industries, creating jobs, and enriching lives.",23-10-2009,12940.0,12651.0,436663.0,21107.0,2715.0,False,True
234,24856,GILEAD SCIENCES INC,gilead sciences,GileadSciences,Gilead Sciences,The impossible is not impossible. It’s simply what hasn’t been achieved yet. Twitter guidelines: https://t.co/d5rgWCmRtR.,02-06-2011,3447.0,206.0,65878.0,969.0,1426.0,False,True
235,24893,WHOLE FOODS MARKET INC,whole foods market,WholeFoods,Whole Foods Market,"We’re the place to discover new flavors, new favorites and new ideas, whatever those might be. Tag your food obsession of the moment with #MakesMeWhole.",16-06-2008,258975.0,488598.0,4327568.0,37119.0,7045.0,False,True
236,25124,LINDE PLC,linde plc,Lindeplc,Linde plc,Linde is a world leading gases and engineering company working in more than 100 countries worldwide. Imprint: https://t.co/nCOI9jxjGX…,06-04-2009,3343.0,1285.0,13850.0,1715.0,814.0,False,True
237,25157,FIRST DATA CORP,first data,FirstData,First Data,First Data is now @Fiserv. We’ve united to create a global leader in payments and financial technology. Follow @Fiserv for news and product updates.,05-12-2008,22361.0,2303.0,33035.0,14104.0,3499.0,False,True
238,25279,BOSTON SCIENTIFIC CORP,boston scientific,bostonsci,Boston Scientific,"Official news from Boston Scientific, a leading innovator of less invasive medical solutions that transform lives around the world. (NYSE: $BSX)",10-11-2010,2322.0,175.0,33726.0,831.0,806.0,False,True
239,25338,BED BATH & BEYOND INC,bed bath & beyond,bedbathbeyond,Bed Bath & Beyond,Welcome to our page where you'll find tips & solutions for your home and beyond. Need help? Send us a message! Share your finds with #bedbathandbeyond.,13-09-2011,75662.0,5286.0,177003.0,594.0,3824.0,False,True
240,25340,D R HORTON INC,d r horton,DRHorton,D.R. Horton,"Official Twitter of #DRHorton Homes. Founded in 1978 - America's Largest #Home Builder. #HomeIsDRHorton
Questions or concerns? https://t.co/DlnlnmjDHD",10-02-2010,9753.0,2.0,15234.0,4048.0,2304.0,False,True
241,25356,EXPRESS SCRIPTS HOLDING CO,express scripts holding,ExpressScripts,Express Scripts,"We’re united with our partners in pursuit of a simpler, more sustainable system and better health for all. For customer service, please use @ExpressRxHelp.",27-05-2009,6797.0,1000.0,22241.0,2045.0,948.0,False,True
242,25434,STARBUCKS CORP,starbucks,StarBucks,Starbucks Coffee,"To inspire and nurture the human spirit — one person, one cup and one neighborhood at a time.",29-11-2006,237424.0,92587.0,10958498.0,21812.0,2948.0,False,True
243,25783,MCAFEE INC,mcafee,officialmcafee,John McAfee,"Iconoclast.
Lover of women, adventure and mystery.
Founder of McAfee Anti-virus",21-11-2012,65662.0,14295.0,1056672.0,98501.0,3997.0,False,True
244,26156,HEWLETT PACKARD ENTERPRISE,hewlett packard enterprise,HPE,HPE,Official Twitter of Hewlett Packard Enterprise. Sharing our passion for technology & innovation.,25-10-2010,16718.0,1675.0,71397.0,5727.0,6355.0,False,True
245,27333,ADIENT PLC,adient plc,Adient,Adient,"Adient is one of the world's largest, most comprehensive automotive seating and components suppliers.",25-09-2012,2599.0,582.0,10178.0,1697.0,1082.0,False,True
246,27786,CHESAPEAKE ENERGY CORP,chesapeake energy,Chesapeake,Chesapeake Energy,Chesapeake Energy (NYSE:CHK),03-09-2009,8207.0,823.0,58134.0,480.0,535.0,False,True
247,27914,HUMANA INC,humana,humana,Humana,Pursuing our dream of helping people achieve lifelong well-being. To learn more about Humana visit https://t.co/t4fYofD5t6.  Need help? Tweet @HumanaHelp.,13-03-2009,15558.0,149.0,44385.0,5150.0,2920.0,False,True
248,27928,INTUIT INC,intuit,Intuit,Intuit,"Proud makers of @TurboTax, @QuickBooks, and @Mint. We’re a mission-driven, global financial platform company that gives everyone the opportunity to prosper.",13-03-2007,25138.0,36135.0,77306.0,8784.0,1624.0,False,True
249,27965,MICROCHIP TECHNOLOGY INC,microchip technology,MicrochipTech,MicrochipTech,"8-/16-/32-bit MCUs, analog and Flash-IP solutions. We will be most able to respond to customer questions between the hours of 7 am to 5 pm MST",18-09-2008,17723.0,372.0,50340.0,5655.0,3525.0,False,True
250,28034,CHUBB LTD,chubb,chubb,Chubb,Chubb is the world’s largest publicly traded property and casualty insurer.,12-05-2009,4933.0,806.0,27576.0,502.0,2350.0,False,True
251,28180,O'REILLY AUTOMOTIVE INC,o'reilly automotive,oreillyauto,O'Reilly Auto Parts,"Share your #projectcars with us and check in for #DIY tips, advice, and all things O'Reilly Auto. 
#OReillyPowered to be featured.",17-04-2009,5713.0,1338.0,40695.0,3112.0,1459.0,False,True
252,28191,ROYAL CARIBBEAN CRUISES LTD,royal caribbean cruises,RoyalCaribbean,Royal Caribbean,We cruise and we tweet. #ComeSeek Privacy Policy https://t.co/oP3JX1hIXY,28-04-2009,81507.0,1261.0,289355.0,29538.0,7397.0,False,True
253,28195,JABIL INC,jabil,jabil,Jabil,"Jabil: a global #manufacturing partner combining expertise in #engineering, #design & #supplychain for the world's biggest brands. #IoT #retail #3DPrinting",07-02-2012,11630.0,2521.0,9142.0,5781.0,4663.0,False,True
254,28349,ALLSTATE CORP,allstate,allstate,Allstate,The brand with the hands advocating for a life well protected in 280 characters or less.,01-04-2008,33162.0,4747.0,85718.0,4180.0,4117.0,False,True
255,28648,PETSMART INC,petsmart,PETsMART,PetSmart,Use #fortheloveofpets for a chance to be featured on our social accounts 💗,05-09-2008,43689.0,6922.0,214662.0,20172.0,3718.0,False,True
256,28877,KEURIG DR PEPPER INC,keurig dr pepper,drpepper,Dr Pepper,We’ll donate $1 for every Dr Pepper you purchase from now until December 31st. Find out how ⬇️‼️,29-01-2009,62420.0,33220.0,431144.0,17326.0,6754.0,False,True
257,28930,MARRIOTT INTL INC,marriott intl,MarriottIntl,Marriott International,Welcome to Marriott International's newsroom on Twitter. Tweeting all things travel and hospitality from Marriott International headquarters.,13-03-2008,32050.0,467.0,427809.0,17052.0,3574.0,False,True
258,29150,URBAN OUTFITTERS INC,urban outfitters,urbanoutfitters,Urban Outfitters,The official UO Twitter.,21-07-2008,42479.0,3115.0,958447.0,9121.0,12599.0,False,True
259,29392,EASTMAN CHEMICAL CO,eastman chemical,EastmanChemCo,Eastman Chemical Co.,Eastman is a global advanced materials and specialty additives company that produces a broad range of products found in items people use every day.,24-09-2009,1690.0,504.0,9078.0,1061.0,789.0,False,True
260,29804,INVESCO LTD,invesco,invescous,Invesco US,Invesco believes in delivering an investment experience designed to help people get more out of life. Important disclosures: https://t.co/Kx73FEDA9N.,20-01-2011,4997.0,527.0,164241.0,0.0,2354.0,False,True
261,30990,CAPITAL ONE FINANCIAL CORP,capital one financial,CapitalOne,Capital One,"At Capital One, we’re on a mission to change banking for good by offering great products, services, and rewards to our customers.",29-08-2011,27658.0,314.0,189666.0,19909.0,5248.0,False,True
262,31774,BRIGHTHOUSE FINANL INC,brighthouse finanl,BrighthouseFin,BrighthouseFinancial,"Build for what's ahead.

We're on a mission to help people achieve financial security.",28-04-2016,3447.0,105.0,11740.0,310.0,251.0,False,True
263,31846,DARDEN RESTAURANTS INC,darden restaurants,darden,Darden Restaurants,"Across every one of our unique brands and in every role, we’re creating a company that matters. Official news, updates and stories from Darden Restaurants.",13-09-2011,3477.0,321.0,15161.0,715.0,1634.0,False,True
264,33326,CHAMPIONX CORP,championx,ChampionsLeague,UEFA Champions League,"🇪🇸: @LigadeCampeones 
🇯🇵: @UCLJapan 
Under-19: @UEFAYouthLeague",05-07-2012,71282.0,558.0,32118437.0,2925.0,34615.0,False,True
265,33439,PERSPECTA INC,perspecta,Perspecta,Perspecta,"Perspecta was formed to take on the big challenges, and we know what it takes to enable our customers to build a better nation. In fact, we do that every day.",07-03-2017,1084.0,281.0,1484.0,631.0,747.0,False,True
266,34636,FOX CORP,fox,foxnews,Fox News,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/3gb0b8MMza",17-03-2007,422388.0,260.0,20080250.0,1.0,138040.0,False,True
267,35035,KONTOOR BRANDS INC,kontoor brands,KontoorBrands,"Kontoor Brands, Inc.",Kontoor is a global lifestyle apparel company with a portfolio of iconic denim brands @Wrangler @LeeJeans. Follow us for official company news & updates.,27-11-2018,136.0,65.0,1349.0,61.0,58.0,False,True
268,35168,CORTEVA INC,corteva,corteva,Corteva Agriscience™,"Corteva Agriscience™, enriching the lives of farmers and consumers, ensuring progress for generations to come.",01-02-2018,1727.0,285.0,19931.0,3643.0,497.0,False,True
269,61483,DAVITA INC,davita,DaVita,DaVita,"Committed to bold, patient-centric care models, implementing the latest technologies and moving toward integrated care offerings for all. #DaVitaWay",03-04-2009,15017.0,56.0,15283.0,4380.0,5521.0,False,True
270,61494,HENRY SCHEIN INC,henry schein,henryschein,Henry Schein,"Henry Schein, Inc. is a solutions company for health care professionals powered by a network of people and technology. We are #TeamSchein!
Nasdaq: $HSIC",25-11-2008,5760.0,9369.0,25553.0,3121.0,1184.0,False,True
271,61513,SANDISK CORP,sandisk,sandisk,SanDisk,"| For Support, please visit https://t.co/0XSHgy5pCp",09-07-2008,10655.0,1039.0,120560.0,5449.0,2281.0,False,True
272,61574,WATERS CORP,waters,rogerwaters,Roger Waters,"English rock musician, singer-songwriter, & composer. Best known as bass player, co-lead vocalist, lyricist & principal songwriter in the rock band Pink Floyd.",31-07-2012,861.0,23.0,384049.0,198.0,591.0,False,True
273,61591,NETAPP INC,netapp,NetApp,NetApp,"In a world of generalists, we are the specialists. #NetApp​ 

Catch the keynotes, get the learnings, & more! #NetAppINSIGHT 2020 on-demand now: https://t.co/7vJov4tWp9",18-08-2008,22795.0,3892.0,129827.0,12473.0,4457.0,False,True
274,61676,CITRIX SYSTEMS INC,citrix systems,citrix,Citrix,The future of work is the space to succeed. We provide technology that empowers organizations to #UnlockPotential & deliver a better employee experience.,21-01-2008,23945.0,1195.0,220231.0,28023.0,5182.0,False,True
275,61739,HARTFORD FINANCIAL SERVICES,hartford financial services,thehartford,The Hartford,Underwriting human achievement for over two hundred years. Follow us on Instagram: https://t.co/fpIABr62m2,27-01-2009,4998.0,239.0,40063.0,813.0,881.0,False,True
276,62263,ALEXION PHARMACEUTICALS INC,alexion pharmaceuticals,AlexionPharma,Alexion,Alexion is focused on developing & delivering life-changing medicines for people living with rare diseases. Community guidelines: https://t.co/oNr47pAdUs,03-02-2011,1027.0,321.0,9120.0,457.0,844.0,False,True
277,62689,TRAVELERS COS INC,travelers cos inc,travelers,Travelers,"Taking care of our customers, communities and each other. https://t.co/zmbqMtnDHy",26-11-2008,10140.0,606.0,66000.0,4816.0,3279.0,False,True
278,63080,ANSYS INC,ansys,ansys,Ansys,Official Ansys Twitter. #engineering #simulation software   #cfd #fea #hpc #electronics #turbomachinery #iot #multiphysics #5G #electrification #autonomous,20-04-2009,21266.0,3018.0,23916.0,7491.0,8192.0,False,True
279,63501,E TRADE FINANCIAL CORP,e trade financial,etrade,E*TRADE,"Welcome to E*TRADE. Follow us for financial insights, commentary, product news and educational events. Disclosure: https://t.co/BJtul9VAM5",17-04-2009,18842.0,545.0,74850.0,1610.0,1334.0,False,True
280,63669,UNIVISION COMMUNICATIONS INC,univisionmmunications,univision,Univision,"El lugar número 1 para tus noticias, entretenimiento, deportes y novelas. Hispanic Heartbeat of America. Síguenos en Facebook e Instagram @Univision",18-05-2009,167224.0,3237.0,2743028.0,2402.0,80986.0,False,True
281,63892,NATIONAL OILWELL VARCO INC,national oilwell varco,NOVGlobal,NOV,The official Twitter page of National Oilwell Varco.,25-06-2014,1604.0,315.0,5714.0,629.0,909.0,False,True
282,64156,MONSTER WORLDWIDE INC,monster worldwide,Monster,Monster,"Find the right fit. 

https://t.co/bk1wBj1rXY",14-02-2007,614508.0,5851.0,218318.0,23923.0,6826.0,False,True
