Company,Handle,Twitter_Descr,verified
apple,AppleTV,Watch Apple TV+ on the Apple TV app. Original stories from the most creative minds in TV and film. New episodes Fridays.,True
apple,pschiller,"Apple Fellow, Illumina, Boston College, Bowdoin, Sports Cars, Marine Science, Scuba, Drums, Photography, Prog Rock fan. (PSA: I block haters)",True
apple,AngelaAhrendts,"Former SVP Apple Retail, CEO Burberry.  Currently loving wife, mom, daughter, friend.  Inspired by great brands & people making a great impact.",True
apple,AppleArcade,"100+ games you can play across iPhone, iPad, Mac, and Apple TV.",True
apple,AppleMusic,#BlackLivesMatter,True
apple,AppleSupport,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific.",True
apple,BoysStateMovie,Watch now exclusively on Apple TV+,True
apple,AppleNews,"The world of news and magazines, in your hand. Stories selected by our U.S. editors.
https://t.co/thYoYWpyoi",True
apple,SheivaYazdani,"Games Marketing @AppleArcade | Previously @GameSpot & @LimbicSoftware | Gamer, cosplayer, and low-key Twitch streamer | https://t.co/DAnJoA5k5R",True
apple,appledaily_hk,"#FreeJimmyLai

The most outspoken pro-democracy media in Hong Kong. Founded by Jimmy Lai in 1995.
| Subscribe: https://t.co/lJtC6vQWKe | App: https://t.co/WTTzlrDCtd |",True
apple,ralph_goducks,"Awards @AppleTV+🍎. #Oregon 🦆🏈🏀 are my favorite shows. Fan of: Family, Friends, Travel, UW losses. Past: @DisneyABCTV @Goldderby Opinions=my own. #GoDucks",True
apple,ApplePodcasts,Guiding you to great podcasts—and what to listen to now. The official podcasts account from Apple.,True
apple,AppleBooks,The official Apple Books account. Find something good to read. No matter where you are.,True
apple,AppleNewsUK,"All the news you want, all in one place. 
Find us in the Apple News app, link below.",True
apple,appleinsider,"In-depth Apple news, analysis & reviews since 1997. Facebook: https://t.co/MTXnzSOBUj YouTube: https://t.co/R2aAX6Ml8d",True
apple,GreenAppleBooks,"Co-owner of Green Apple Books.  
Person who likes to read.
We are OPEN daily from 10am to 9pm.",True
southern gas,SSGC_Official,Sui Southern Gas Company is Pakistan's leading integrated natural gas company involved in transmission and distribution of gas in Sindh and Balochistan.,True
autodesk,autodesk,"3D design, engineering, and entertainment software and services. 
Have a question? Visit our community forums: https://t.co/ADDNuPre2j",True
autodesk,AutodeskRevit,The official account of Autodesk Revit. Need help? Try @adskcommunity or https://t.co/hmM4GxVUMJ,True
autodesk,Autodesk_ME,Official community for Autodesk Media & Entertainment products. Need help? Try http://t.co/VjVXuarnGe,True
autodesk,autodesku,The design and make conference for innovators everywhere who reimagine what’s possible.,True
autodesk,ADSKSimulation,"The Autodesk® Simulation portfolio delivers a comprehensive set of simulation software tools—on the desktop, in the cloud, and on mobile devices.",True
autodesk,PlanGrid,Construction productivity software used on more than 1.5 million construction projects in 100+ countries around the world. An @Autodesk company.,True
autodesk,adskFusion360,"One product, unlimited possibilities. Integrated 3D CAD, CAM, CAE & PCB software for everyone. Show us how you use #Fusion360. https://t.co/Ve2mJtN3UQ",True
automatic data processing,ADP,"HR, Talent, Time Management, Benefits and Payroll.  Informed by data and designed for people.",True
avery dennison,AveryDennison,We are a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials.,True
avon products,AvonInsider,"Make Life Beautiful.
#NoAnimalTesting 🐇",True
avon products,Avon_UK,The official Avon UK page. Fighting wrinkles with one hand and Breast Cancer with the other. For 130 years we’ve stood for innovative beauty but above all WOMEN,True
avon products,AvonIndia,"130 years of standing for her and counting! Avon innovates and provides beauty products sold primarily to women, through women. #Stand4Her",True
avon products,avonturkiye,Avon Türkiye Resmi Twitter Hesabı #ŞimdiSıraBende,True
baker hughes,Avitas_Systems,"A Baker Hughes venture company advancing inspection services with data analytics, robotics, and AI across industrial industries.",True
bank of new york mellon,BNYMellon,BNY Mellon delivers informed investment management and investment services in 35 countries and serves clients around the world. https://t.co/m76x8p2xDf,True
bemis,SayAnythingMuz,"Rock band from Los Angeles, California

https://t.co/TVQCsBDrQN",True
bemis,maxbemis,Tweets by Management               https://t.co/TVQCsBDrQN,True
bemis,SDuPreeBemis,"🎤Singer @Eisley & @bemisfamily Chugging coffee, slinging tunes and raising babies with @maxbemis in East TX in our dome home. 💖 💌 sherri@gb-blk.com",True
bemis,TomBemis,,True
bemis,SBemisOnline,Sports Anchor/Reporter for NBC 24 (KSEE) & CBS 47 (KGPE) in the Central Valley. College & HS sports guy with decent golf swing & surprisingly solid outside shot,True
best buy,BestBuy,Let’s talk about what’s possible. Share your best tech with the world using @BestBuy.   Contact @BestBuySupport with customer service questions.,True
best buy,BBYNews,"The official Twitter account for Best Buy Public Relations. The source for news and info about the brands & operations of Best Buy Co., Inc. press@bestbuy.com",True
best buy,BestBuyCanada,The Official Twitter feed of Best Buy Canada. @BestBuyCanHelp for Customer Support. @BBYCanadaDeals for daily deals @BestBuyQuebec for French.,True
best buy,BestBuyCSR,"Best Buy is committed to positively impacting the environment & our communities.

Tweets by passionate Best Buy sustainability geeks. 

#CorporateResponsibility",True
best buy,BestBuyCanHelp,"Best Buy Canada's official customer support! 

Responses within 24hrs Mon - Fri or call 1-866-BEST-BUY. 

Follow @BestBuyCanada or @BBYCanadaDeals!",True
best buy,BestBuy_Deals,"This is where the deals happen. Get price breaks, see our weekly ad and learn more about our products. Need support? Tweet @BestBuySupport.",True
best buy,BBYInfluencers,"Join our Influencer Network: https://t.co/2m0EhqyPMF. Tag us, we share Influencers Best Buy Content. Need support? Tweet @BestBuySupport",True
best buy,BestBuyBusiness,Business Technology Experts - Official Best Buy For Business site,True
best buy,BestBuySupport,"Have questions about @BestBuy? Need support? Let us know! We’re here to help weekdays 8:00 a.m. to 7:00 p.m. CT, weekends and holidays 9:30 a.m. to 6:00 p.m. CT",True
best buy,BestBuyEdu,"Providing schools across the country with hardware, software and #edtech solutions to enable 21st century learning.",True
black & decker,BLACKANDDECKER,Tackling that to-do list? You Got This. BLACK+DECKER helps you keep up with life.,True
black & decker,StanleyBlkDeckr,Stanley Black & Decker provides the tools and innovative solutions you can trust to get the job done — and we have since 1843. #ForThoseWhoMakeTheWorld,True
black & decker,RamanaGogula,"Musician/Composer for 25 Films/Founder, Earthen Glow, Clean Lighting For BOP/VC, Unitus Seed Fund & Anthill/Vice President Innovation, Stanley Black & Decker",True
block h & r,HRBlock,"Tax prep doesn’t have to be hard. At H&R Block, we have many filing options to make it easy for you. Professional tax prep with or without the office visit.",True
block h & r,HRBlockAnswers,Official H&R Block Client Service Team on Twitter. Have questions or need help? We’re here for you. Tweeting Monday through Friday 8am – 6pm CST,True
block h & r,HRBlockNews,"Stories of providing help and inspiring confidence in our clients and communities everywhere, plus the people who make it happen. mediadesk@hrblock.com @HRBlock",True
block h & r,HRBlockCanada,Official Twitter for H&R Block Canada. Get What's Yours this #PaybackSeason,True
boeing,Boeing,"Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.",True
boeing,BoeingAirplanes,"Official Twitter of Boeing Commercial Airplanes - We design, build and support a family of technologically advanced commercial jets",True
boeing,BoeingSpace,Your front row seat as we continue to build the future of space for all of humanity.,True
boeing,Boeing_In,Official account of @Boeing India. Boeing has a tradition of over 75 years of aerospace leadership and innovation in India. https://t.co/5WSB6H0tdO,True
boeing,BoeingUK,"Official account of @Boeing UK & Ireland. Over 80 years of a prosperous and growing partnership with UK & I customers, suppliers & partners. ✈️🛰️🚁",True
boeing,gboeing,"Asst Professor @USCPrice Department of Urban Planning and Spatial Analysis. Cities, street networks, data. Past lives at UC Berkeley, Northeastern, ASU.",True
boeing,BoeingAustralia,"A 90-year Australian aerospace legacy. A $1.3B economic impact.
3000+ employees who proudly engineer, manufacture and provide aviation services.",True
boeing,BoeingDefense,"Official Twitter of Boeing Defense, Space & Security. We provide technologies that connect and protect, from the battlespace to outer space to cyberspace.",True
boeing,BoeingMidEast,Official account of @Boeing Middle East. 75 years of aerospace excellence and innovation with our regional partners.,True
boeing,BoeingEurope,Official account of Boeing (@Boeing) Europe. Advancing the European #Aerospace industry together with our partners for +80 years.,True
boeing,BoeingCareers,Follow @Boeing for the latest career opportunities.,True
boeing,weareboeingsc,"Official Twitter of Boeing South Carolina – sharing information about our operations, partnerships, and amazing things our teammates do. Made with Pride in SC!",True
boeing,BoeingWA,Official Twitter of Boeing in Washington. Here to share the stories of our people and partners as we build a sound future right here in the Puget Sound.,True
officemax,OfficeMax,"For all customer inquiries, please go to @officedepot.",True
officemax,officedepot,"Here to help you #KeepBusinessGoing. #DiscoverDepot products & services, & learn how we are making a #DepotDifference in our communities.",True
bristol-myers squibb,bmsnews,Global Specialty Care BioPharma,True
bristol-myers squibb,ScienceAtBMS,"Official Bristol Myers Squibb Twitter handle for science. Connecting researchers, scientists and healthcare professionals through science; guidelines below:",True
brown forman,brownforman,Please Drink Responsibly. Legal drinking age only. Don't share with anyone underage. https://t.co/bgrPwujH2G ©2021 Brown-Forman. All rights reserved.,True
brown forman,brownformanuk,"Please Drink Responsibly.
Do not forward to anyone under the legal drinking age
https://t.co/bgrPwujH2G
Brown-Forman Beverages, Louisville KY. ©2020 Brown-Forman",True
brown forman,coopers_craft,"Drink responsibly. Legal drinking age only. Don't share with anyone underage. https://t.co/bgrPwujH2G 2019 Brown-Forman Beverages, Lou, KY. COOPERS' CRAFT®",True
burlington northern santa ,BNSFRailway,BNSF Railway is an Equal Opportunity Employer. Follows are not endorsements. Call 800-832-5452 to report track or crossing issues. Account not monitored 24/7.,True
cigna,Cigna,"Community that highlights what Cigna is doing around the globe to help improve the health, well-being, and peace of mind of those we serve.",True
cigna,wendellpotter,"Former VP, @cigna. Whistleblower and reformed insurance propagandist. President, @cforhd. Press: andrew@feldmanstrategies.com. Speeches: info@harrywalker.com.",True
campbell soup,CampbellSoupCo,We're proud of what we bring to the table: Real food that matters for life's moments. Visit @CampbellCares for help.,True
campbell soup,CampbellsChunky,The official Campbell's Chunky Soup page brought to you by Campbell Soup Company. https://t.co/oPEahOJMsS,True
campbell soup,LifeAfterTGame,Culture Builder @ChicagoBears - @BadgerFootball @uwmadison 👐🏾 Alum @NFL Vet -#PassionPosition #BearDown #LATG,True
constellation brands,cbrands,Constellation is a leading international producer and marketer of high-end beer and premium wine and spirits brands that are #WorthReachingFor.,True
constellation brands,PenskeMedia,"PMC is a constellation of global media brands fueled by remarkable content across our digital, video, print, and event properties.",True
cardinal health,cardinalhealth,"The news handle for Cardinal Health on Twitter, providing up-to-date info and announcements from the public relations team. Twitter disclaimer below.",True
progress energy,EnergyCIO,"DOE CIO, constantly  learning, relentless forward progress towards innovation, leading IT for the coolest Department in the US Government.",True
progress energy,Shell_US,The official US Twitter presence of @Shell. We power progress together by providing more and cleaner energy solutions for the world.,True
progress energy,mankofit,"Changing lives through positive energy. Strive for progress, NOT perfection!",True
progress energy,Exelon,"We believe that reliable, clean and affordable energy is essential to a brighter, more sustainable future. That's performance that drives progress.",True
caterpillar,CaterpillarInc,"For more than 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.",True
caterpillar,caterpillarrai,"Caterpillar va in onda dal lunedì al venerdì, dalle 18.00 alle 20.00, su Rai Radio2 📻 https://t.co/3BDdxphQz9",True
centurylink,CenturyLink,Transforming lives and businesses through innovative technology solutions. Follow along. Customer support available @CenturyLinkHelp.,True
centurylink,CenturyLinkHome,"Your source for streaming, surfing, gaming, and staying connected to the digital world. Customer support @CenturyLinkHelp.",True
centurylink,CenturyLinkBiz,"We help businesses turn revolutionary ideas into amazing realities, powering growth & delivering on the promises of the 4th Industrial Revolution. https://t.co/yMujKBTkeZ",True
centurylink,ChrisDMcGowan,"CEO, Vulcan Sports & Ent. @trailblazers @ModaCenter @Seahawks @CenturyLink_Fld @MoPOP",True
centurylink,CenturyLinkHelp,"We are the official Twitter customer service team for CenturyLink! We are here to listen, learn, and help from 7am - 12am CT M-F and 8am - 8pm CT Sat/Sun.",True
jpmorgan chase &,jpmorgan,"Official account for the latest company news and updates from Asset Management, Private Banking, Commercial Banking, and the Corporate and Investment Bank.",True
jpmorgan chase &,Chase,"Official handle for Chase. For customer support, Tweet @ChaseSupport. https://t.co/OnnV42OBrP",True
jpmorgan chase &,ChaseSupport,"We are the official Twitter customer service team for Chase Bank! We are here to listen, learn and help M-F 7AM-11PM ET & Sat/Sun 10AM-7PM ET.",True
jpmorgan chase &,MellodyHobson,"Investor, learner, teacher, happy warrior; Co-CEO & President of Ariel Investments; Vice Chair of Starbucks; Director at JPMorgan Chase. #BeColorBrave",True
jpmorgan chase &,IVMFSyracuseU,"The Institute for Veterans and Military Families provides programs to veterans, service members, and military families. 

Founding Partner: JPMorgan Chase & Co.",True
jpmorgan chase &,hhigginbottom,"President, JPMorgan Chase PolicyCenter, former Obama White House, State Dept, & Kerry staffer. Views are my own.",True
jpmorgan chase &,MichelleF_Davis,Reporter at Bloomberg @business covering banking and finance with a focus on JPMorgan Chase. Previously in Mexico City. Tips: mdavis194@bloomberg.net,True
jpmorgan chase &,WePay,"We’re the integrated payments business of JPMorgan Chase, delivering payments you can bank on. Visit https://t.co/vt6UeP0kCC for support.",True
jpmorgan chase &,pre_me,"JPMorgan Chase Fellow, previously partner at Siberia, founder of Quake Labs, starter of webOS and iPhone, builder of Dashboard and iChat, tech advisor",True
chevron,Chevron,"our greatest resource is our people. their ingenuity & creativity have met the complex challenges of energy’s past. together, we’ll take on the future.",True
chevron,chevronphillips,"News, jobs and updates from Chevron Phillips Chemical Company.",True
chevron,ChevronRichmond,"Official Twitter account for Chevron in Richmond, CA.",True
chevron,ChevronHouston,Chevron has called Houston home for over a century. We're committed to giving Houstonians the boost they need to reach their full potential. #BoostinHouston,True
chevron,ChevronCR,please follow us at @chevron,True
chevron,vxflores,"External Affairs Advisor @Chevron, ex-journo, #energy & #education policy junkie; @UHouston-ex; #runner; 2000 @JSKStanford fellow. RT ≠ endorsement",True
chevron,ChevronSTEMZone,The #ChevronSTEMZone is an interactive space that shows how your favorite STEM subjects can lead to fascinating and rewarding STEM careers.,True
chubb,Chubb,Chubb is the world’s largest publicly traded property and casualty insurer.,True
chubb,ChubbNA,"North American operations of global insurer @Chubb / Activités nord-américaines de @Chubb, Assureur international. Social Media Guidelines: https://t.co/R8XnynxSMK",True
chubb,NickChubb21,Cedartown - For Marketing/Philanthropic Inquiries: Nick@everettsm.com,True
chubb,astronaut,Former NC State DE. #RIPPawPaw. For Business Inquiries Contact: @JacquelynKDahl,True
chubb,4ocho,Pluto is a planet,True
iheartmedia,iHeartMedia,"iHeartMedia, Inc. is one of the leading global media and entertainment companies. For more company information visit http://t.co/34j8b9xuRq.",True
iheartmedia,TeddiMellencamp,🏃🏼‍♀️: Certified Nutrition/Wellness Coach & Personal Trainer 🎙: @iHeartMedia Teddi Tea Podcast,True
iheartmedia,AngiTaylorRadio,@iHeartMedia Host of the @AngiTaylorShow @rock955chi 🤘🏽#ROADIES | SerbianPrincess🇷🇸 | mama | #mentalhealth advocate | Radio OG | gypsy | SURVIVOR | Hoodrat,True
iheartmedia,ChuckDizzle,Nationally Syndicated Radio Host #iHeartMedia • @REAL923LA + Over 40 Markets  📻 @HomeGrownRadio Founder • VO Artist 🗣 @innovativeartists,True
iheartmedia,EnglishJason,"Now: Podcast things @iHeartMedia. Then: Editor-in-Chief @mental_floss, @ConsiderableHQ. Three daughters. Glasses wearer/enthusiast.",True
iheartmedia,amandaknox,"Exoneree, journalist, author of WAITING TO BE HEARD, co-host with @manunderbridge of LABYRINTHS podcast on @iHeartMedia",True
iheartmedia,rachellutzker,@FOX61News & @iheartmedia traffic reporter & 3-7p host of @theriver1059 Wife and Mom of 3! RT's are not endorsements,True
iheartmedia,loudspike,Tiny man with a big mouth. Boring dad. Photographer. Coffee drinker. National fucking treasure. [Instagram: radiospike]  👾 I speak for myself not iHeartMedia.,True
iheartmedia,mattjmcclure,"Exec. Producer @iHeartMedia, Nat'l Correspondent @NBCNewsRadio. Anchor @GANewsNetwork. Fmr. @NY1, @WSJ & @WCBS880. Mbr: @sagaftra & @nlgja 🏳️‍🌈 Opinions=Mine",True
iheartmedia,MattBosso,family and music | iHeartMedia | tweets are mine,True
iheartmedia,michellemlanz,"Audio producer. Podcast development for @iHeartMedia. Founder of Aural Media, Inc. Previous: @ThroughlineNPR @stretchandbob @TheFrame @kpcc",True
coca-cola,CocaCola,Everyone welcome.♥️,True
coca-cola,CocaCola_GB,"Welcome to the official Coca-Cola Great Britain Twitter feed. Follow us for latest news, stories & updates. Here for your questions 09:00 – 17:30, Mon to Fri",True
coca-cola,WorldofCocaCola,"Experience the fascinating story of Coca-Cola®, meet our Coca-Cola Polar Bear, enjoy 100+ beverages from around the world and more! #WorldofCocaCola",True
coca-cola,CocaColaCo,"Refresh the World.  Make a Difference.
...company news, brands, sustainability, innovation and inspiration",True
coca-cola,CocaCola_Ind,"This is the official twitter account for Coca-Cola India. To buy, click here: https://t.co/raF0nkpJAk",True
coca-cola,CocaColaEP,"Official tweets from Coca-Cola European Partners (CCEP) the world’s largest independent Coca-Cola bottler, based on net sales.",True
coca-cola,CocaCola_NG,Savor every moment of togetherness with family and friends.  #TogetherTastesBetter,True
coca-cola,CocaColaAmatil,One of Asia-Pacific’s largest bottler/distributors of non-alcoholic ready-to-drink beverages and one of the world's larger Coca-Cola bottlers.,True
coca-cola,ccfreestyle,100+ drink choices now pouring contact-free with your smart phone,True
coca-cola,cokescholars,Visionary Leaders Refreshing the World,True
coca-cola,cocacolaarena,"Dubai’s home of live entertainment.
Your Idols. Live Here.",True
coca-cola,CocaColaRacing,"Driving smiles to Victory Lane with our Coca-Cola Racing Family @joeylogano, @austindillon3, @dennyhamlin, @RyanJNewman and @Daniel_SuarezG.",True
coca-cola,DietCoke,because it’s fizzing delicious.,True
coca-cola,CocaCola_ZA,"The Coca-Cola Company South Africa #EnjoyTheFeeling

Disclaimer: Irrelevant, derogatory or harmful posts/comments will be deleted without warning or notice.",True
coca-cola,CokeFlorida,We are Coke Florida - Florida’s independent Coca-Cola bottler. Serving more than 18 million consumers across the sunshine state 🌞,True
coca-cola,CocaColaCo_ca,"We are here to refresh Canadians and make a difference. 🍁

Follow along for news, insights and announcements from Coca-Cola Canada’s corporate team.",True
coca-cola,CocaColaAU,"Bringing you the latest news and stories from Coca-Cola South Pacific. For consumer care, please call 1800 025 123",True
coca-cola,CocaColaAU_Co,"Bringing you the latest news and stories from Coca-Cola Australia. For consumer care, please call 1800 025 123",True
coca-cola,Cocacola_GH,"The Official Coca-Cola Ghana Twitter Page.
#StaySafe #WearYourMask",True
colgate-palmolive,CP_News,Welcome to the official home for Colgate-Palmolive news. #WeAreColgate,True
aon plc,Aon_plc,"Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of #risk, #retirement and #health solutions.",True
aon plc,XSchauffele,PGA Tour Player | San Diego State Alumni | https://t.co/hlrqqUyGdP | @CallawayGolf @AdidasGolf @Hyland @Aon_plc,True
comcast,comcast,Shaping the future at the intersection of media & technology.,True
comcast,Xfinity,Bringing you closer to everything you love. Tweet @ComcastCares for support.,True
comcast,comcastcares,"The official support account for @XFINITY residential, mobile and business services from @Comcast. Our team is growing to provide help & technical support.",True
comcast,NBCSCeltics,The official account of the #Celtics on @NBCSBoston (but mostly just a Deuce Tatum stan account),True
comcast,ComcastNewsmkrs,"Comcast Newsmakers presents short-form, issue-based conversations with leaders and groundbreakers dedicated to advancing America’s communities.",True
comcast,comcastcareers,"Explore careers at @Comcast. Join a diverse, passionate team shaping the future of media, entertainment & tech. @ComcastCares for @Xfinity customer support.",True
comcast,NBCSBoston,"Bringing you the latest news & video on the #Celtics, Patriots, Red Sox, Bruins & NE Revolution ~ 🏀@NBCSCeltics | 🏈 @NBCSPatriots | ⚽️ @NBCSRevs",True
comcast,ComcastMilitary,"Sharing stories, news, and information about Military and Veteran initiatives @Comcast & @NBCUniversal",True
comcast,comcastbusiness,"Bounce Forward™ with powerful connectivity and flexible solutions to help your business take on whatever’s next. For support, tweet: @ComcastCares",True
comcast,AdamHoge,White Sox and Bears for @NBCSChicago and @WGNRadio. Sidelines for @NUFBFamily. The Hoge & Jahns Podcast. #22qFamily. 😷,True
comcast,VinnieDuber,"White Sox writer @NBCSChicago. A supernatural, country-rockin' galoot.",True
comcast,LIFT_Labs,"Elevating media, entertainment and connectivity innovations and the startups making them happen.",True
comcast,ComcastPolicy,Shaping the future at the intersection of media & technology.,True
comcast,ComcastTechSoln,"We invent technology that solves industry challenges, reimagines what is possible, and transforms business through new innovations.",True
citigroup,Citi,Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti,True
citigroup,YousufNazar,Political economy is my primary interest. Formerly with Citigroup’s emerging markets investments. Author of https://t.co/hhtyKSzh5U,True
ca inc,MarvelStudiosCA,The official Twitter account for Marvel Studios Canada,True
ca inc,eBayCanada,The official Twitter for eBay Canada. The world's online marketplace!,True
ca inc,CAinc,CA Technologies is now a Broadcom company. Follow @Broadcom to stay up to date on company news and products.,True
ca inc,CA_IM,CA Technologies is now a Broadcom company. Follow @Broadcom to stay up to date on company news and products.,True
dxc technology,DXCTechnology,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True
conagra brands,ConagraBrands,"Conagra Brands is one of North America’s leading branded food companies. To view our portfolio of brands, visit https://t.co/UsA2WOi5zZ.",True
conagra brands,GlutinoFoods,A delicious #glutenfree brand by Conagra Brands. This is #glutenfree snacking as it should be. Find us at your local grocer.,True
